Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Notes, Coding_Scheme,
6/26/2021, 06:13:05, 00:00:00,0,2.416,320.293," ""AdLib"""," ""LogAdLibitum 20210626_061305.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Far from nest """,,,,,,, State start,7916," """"", Provisioning ,
6/26/2021, 06:13:08, 00:00:02,2.984,1.882,53.497," ""AdLib"""," ""LogAdLibitum 20210626_061305.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Far from nest """,,,,,,, State start,7916," """"", Provisioning ,
6/26/2021, 06:13:11, 00:00:05,5.65,1.282,3597.223," ""AdLib"""," ""LogAdLibitum 20210626_061305.csv"""," ""Unknown"""," ""GFN"""," ""Unknown""",,,,,,,, State start,7916," """"", Provisioning ,
6/26/2021, 06:14:02, 00:00:56,56.482,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061305.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Far from nest """,,,,,,, State stop,7916," """"", Provisioning ,
6/26/2021, 06:14:02, 00:00:56,56.482,1.74,6.391," ""AdLib"""," ""LogAdLibitum 20210626_061305.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,7916," """"", Provisioning ,
6/26/2021, 06:14:08, 00:01:02,62.873,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061305.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State stop,7916," """"", Provisioning ,
6/26/2021, 06:14:08, 00:01:02,62.873,1.99,64.08," ""AdLib"""," ""LogAdLibitum 20210626_061305.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State start,7916," """"", Provisioning ,
6/26/2021, 06:15:12, 00:02:06,126.953,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061305.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State stop,7916," """"", Provisioning ,
6/26/2021, 06:15:12, 00:02:06,126.953,1.806,894.913," ""AdLib"""," ""LogAdLibitum 20210626_061305.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Far from nest """,,,,,,, State start,7916," """"", Provisioning ,
6/26/2021, 06:18:25, 00:05:20,320.293,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061305.csv"""," ""Female"""," ""GFN"""," ""Female"""," ""Far from nest """,,,,,,, State stop,7916," """"", Provisioning ,
6/26/2021, 06:18:25, 00:05:20,320.293,1.232,11.783," ""AdLib"""," ""LogAdLibitum 20210626_061305.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State start,7916," """"", Provisioning ,
6/26/2021, 06:18:37, 00:05:32,332.076,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061305.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State stop,7916," """"", Provisioning ,
6/26/2021, 06:18:37, 00:05:32,332.076,1.132,26.066," ""AdLib"""," ""LogAdLibitum 20210626_061305.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State start,7916," """"", Provisioning ,
6/26/2021, 06:19:03, 00:05:58,358.141,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061305.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State stop,7916," """"", Provisioning ,
6/26/2021, 06:19:03, 00:05:58,358.141,1.648,15.614," ""AdLib"""," ""LogAdLibitum 20210626_061305.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State start,7916," """"", Provisioning ,
6/26/2021, 06:19:19, 00:06:13,373.755,0,0," ""AdLib"""," ""LogAdLibitum 20210626_061305.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State stop,7916," """"", Provisioning ,
6/26/2021, 06:19:19, 00:06:13,373.755,1.218,170.335," ""AdLib"""," ""LogAdLibitum 20210626_061305.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State start,7916," """"", Provisioning ,
