Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Notes, Coding_Scheme,
7/19/2021, 13:52:15, 00:36:48,2208.633,1.842,23.141," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:52:38, 00:37:11,2231.774,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:52:38, 00:37:11,2231.774,1.189,16.465," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Preening""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:52:54, 00:37:28,2248.239,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Preening""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:52:54, 00:37:28,2248.239,1.265,85.819," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:54:20, 00:38:54,2334.058,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:54:20, 00:38:54,2334.058,1.707,81.828," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Preening""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:55:42, 00:40:15,2415.886,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Preening""",,,,,,, State stop,7916," """"", Provisioning ,
7/19/2021, 13:55:42, 00:40:15,2415.886,1.365,176.397," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,7916," """"", Provisioning ,
7/19/2021, 13:56:05, 00:40:38,2438.976,0,0," ""AdLib"""," ""LogAdLibitum 20210719_131526.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Near nest""",,,,,,, State stop,7916," """"", Provisioning ,
