Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Notes, Coding_Scheme,,
6/12/2021, 05:45:04, 00:00:00,0,1.872,8.999," ""AdLib"""," ""LogAdLibitum 20210612_054504.csv"""," ""Female"""," ""AN"""," ""Female""",,,,,,,, State start,7916," """"", Provisioning ,,
6/12/2021, 05:45:06, 00:00:02,2.44,1.624,247.077," ""AdLib"""," ""LogAdLibitum 20210612_054504.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State start,7916," """"", Provisioning ,,
6/12/2021, 05:45:09, 00:00:05,5.098,1.208,3636.924," ""AdLib"""," ""LogAdLibitum 20210612_054504.csv"""," ""Unknown"""," ""GFN"""," ""Unknown""",,,,,,,, State start,7916," """"", Provisioning ,,
6/12/2021, 05:45:13, 00:00:08,8.999,0,0," ""AdLib"""," ""LogAdLibitum 20210612_054504.csv"""," ""Female"""," ""AN"""," ""Female""",,,,,,,, State stop,7916," """"", Provisioning ,,
6/12/2021, 05:45:13, 00:00:08,8.999,1.681,182.888," ""AdLib"""," ""LogAdLibitum 20210612_054504.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,7916," """"", Provisioning ,,
6/12/2021, 05:48:16, 00:03:11,191.888,0,0," ""AdLib"""," ""LogAdLibitum 20210612_054504.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State stop,7916," """"", Provisioning ,,
6/12/2021, 05:48:16, 00:03:11,191.888,1.624,11.992," ""AdLib"""," ""LogAdLibitum 20210612_054504.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State start,7916," """"", Provisioning ,,
6/12/2021, 05:48:28, 00:03:23,203.879,0,0," ""AdLib"""," ""LogAdLibitum 20210612_054504.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State stop,7916," """"", Provisioning ,,
6/12/2021, 05:48:28, 00:03:23,203.879,1.616,47.988," ""AdLib"""," ""LogAdLibitum 20210612_054504.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Brooding""",,,,,,, State start,7916," """"", Provisioning ,,
6/12/2021, 05:49:13, 00:04:09,249.518,0,0," ""AdLib"""," ""LogAdLibitum 20210612_054504.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State stop,7916," """"", Provisioning ,,
