Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Notes, Coding_Scheme,
9/29/2021, 10:29:13, 00:02:32,152.558,1.522,4.133," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,7916," """"", Provisioning ,
9/29/2021, 10:29:17, 00:02:36,156.691,0,0," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State stop,7916," """"", Provisioning ,
9/29/2021, 10:29:17, 00:02:36,156.691,0.883,105.044," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State start,7916," """"", Provisioning ,
9/29/2021, 10:29:38, 00:02:57,177.164,0,0," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State stop,7916," """"", Provisioning ,
9/29/2021, 10:29:38, 00:02:57,177.164,2.39,4.102," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State start,7916," """"", Provisioning ,
9/29/2021, 10:29:42, 00:03:01,181.266,0,0," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State stop,7916," """"", Provisioning ,
9/29/2021, 10:29:42, 00:03:01,181.266,0.972,21.223," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State start,7916," """"", Provisioning ,
9/29/2021, 10:30:03, 00:03:22,202.489,0,0," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State stop,7916," """"", Provisioning ,
9/29/2021, 10:30:03, 00:03:22,202.489,1.182,3.591," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State start,7916," """"", Provisioning ,
9/29/2021, 10:30:07, 00:03:26,206.079,0,0," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State stop,7916," """"", Provisioning ,
9/29/2021, 10:30:07, 00:03:26,206.079,1.016,227.163," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State start,7916," """"", Provisioning ,
9/29/2021, 10:30:45, 00:04:04,244.013,16.316,16.316," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," """""," """"",,,,,,,,, Notes,7916," ""Owner in barn"," alarm calls around 22:16""", Provisioning 
9/29/2021, 10:31:02, 00:04:21,261.735,0,0," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State stop,7916," """"", Provisioning ,
9/29/2021, 10:31:02, 00:04:21,261.735,1.456,3.016," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,7916," """"", Provisioning ,
9/29/2021, 10:31:05, 00:04:24,264.752,0,0," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State stop,7916," """"", Provisioning ,
9/29/2021, 10:31:05, 00:04:24,264.752,1.14,104.644," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State start,7916," """"", Provisioning ,
9/29/2021, 10:32:50, 00:06:09,369.395,0,0," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State stop,7916," """"", Provisioning ,
9/29/2021, 10:32:50, 00:06:09,369.395,1.282,2.3," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,7916," """"", Provisioning ,
9/29/2021, 10:32:52, 00:06:11,371.695,0,0," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State stop,7916," """"", Provisioning ,
9/29/2021, 10:32:52, 00:06:11,371.695,0.95,53.796," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State start,7916," """"", Provisioning ,
9/29/2021, 10:33:46, 00:07:05,425.491,0,0," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State stop,7916," """"", Provisioning ,
9/29/2021, 10:33:46, 00:07:05,425.491,2.099,4.184," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,7916," """"", Provisioning ,
9/29/2021, 10:33:50, 00:07:09,429.675,0,0," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State stop,7916," """"", Provisioning ,
9/29/2021, 10:33:50, 00:07:09,429.675,1.215,17.382," ""AdLib"""," ""LogAdLibitum 20210929_102641.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State start,7916," """"", Provisioning ,
