Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Notes, Coding_Scheme,
6/29/2021, 05:55:11, 00:00:00,0,3.191,10.741," ""AdLib"""," ""LogAdLibitum 20210629_055511.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,3639," """"", barn_swallow_prov,
6/29/2021, 05:55:21, 00:00:10,10.741,0,0," ""AdLib"""," ""LogAdLibitum 20210629_055511.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State stop,3639," """"", barn_swallow_prov,
6/29/2021, 05:55:21, 00:00:10,10.741,1.833,71.281," ""AdLib"""," ""LogAdLibitum 20210629_055511.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State start,3639," """"", barn_swallow_prov,
6/29/2021, 05:56:30, 00:01:19,79.722,1.608,119.688," ""AdLib"""," ""LogAdLibitum 20210629_055511.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State start,3639," """"", barn_swallow_prov,
6/29/2021, 05:56:33, 00:01:22,82.022,0,0," ""AdLib"""," ""LogAdLibitum 20210629_055511.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State stop,3639," """"", barn_swallow_prov,
6/29/2021, 05:56:33, 00:01:22,82.022,1.783,8.692," ""AdLib"""," ""LogAdLibitum 20210629_055511.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Near nest""",,,,,,, State start,3639," """"", barn_swallow_prov,
6/29/2021, 05:56:41, 00:01:30,90.714,0,0," ""AdLib"""," ""LogAdLibitum 20210629_055511.csv"""," ""Male"""," ""GFN"""," ""Male"""," ""Near nest""",,,,,,, State stop,3639," """"", barn_swallow_prov,
6/29/2021, 05:56:41, 00:01:30,90.714,7.416,13.199," ""AdLib"""," ""LogAdLibitum 20210629_055511.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,3639," """"", barn_swallow_prov,
6/29/2021, 05:56:54, 00:01:43,103.913,0,0," ""AdLib"""," ""LogAdLibitum 20210629_055511.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State stop,3639," """"", barn_swallow_prov,
6/29/2021, 05:56:54, 00:01:43,103.913,7.458,92.705," ""AdLib"""," ""LogAdLibitum 20210629_055511.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State start,3639," """"", barn_swallow_prov,
6/29/2021, 05:57:07, 00:01:56,116.156,7.433,7.433," ""AdLib"""," ""LogAdLibitum 20210629_055511.csv"""," """""," """"",,,,,,,,, Notes,3639," ""Lots of males singing """, barn_swallow_prov,
6/29/2021, 05:58:27, 00:03:16,196.618,0,0," ""AdLib"""," ""LogAdLibitum 20210629_055511.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Perching""",,,,,,, State stop,3639," """"", barn_swallow_prov,
