Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Notes, Coding_Scheme
7/19/2021, 16:09:46, 00:00:00,0,0.884,97.127," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State start,1111," """"", BarsObs
7/19/2021, 16:09:48, 00:00:01,1.447,0.881,92.004," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State start,1111," """"", BarsObs
7/19/2021, 16:09:49, 00:00:02,2.914,0.765,3619.883," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Unknown"""," ""GFN"""," ""Unknown""",,,,,,,, State start,1111," """"", BarsObs
7/19/2021, 16:11:20, 00:01:33,93.452,0,0," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State stop,1111," """"", BarsObs
7/19/2021, 16:11:20, 00:01:33,93.452,2.389,6.486," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,1111," """"", BarsObs
7/19/2021, 16:11:24, 00:01:37,97.128,0,0," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State stop,1111," """"", BarsObs
7/19/2021, 16:11:24, 00:01:37,97.128,1.474,6.16," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State start,1111," """"", BarsObs
7/19/2021, 16:11:26, 00:01:39,99.938,0,0," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State stop,1111," """"", BarsObs
7/19/2021, 16:11:26, 00:01:39,99.938,2.533,302.667," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State start,1111," """"", BarsObs
7/19/2021, 16:11:30, 00:01:43,103.288,0,0," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State stop,1111," """"", BarsObs
7/19/2021, 16:11:30, 00:01:43,103.288,1.265,438.046," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State start,1111," """"", BarsObs
7/19/2021, 16:11:46, 00:01:59,119.024,8.677,8.677," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," """""," """"",,,,,,,,, Notes,1111," ""Simultaneous visit""", BarsObs
7/19/2021, 16:16:29, 00:06:42,402.604,0,0," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State stop,1111," """"", BarsObs
7/19/2021, 16:16:29, 00:06:42,402.604,1.686,3.199," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,1111," """"", BarsObs
7/19/2021, 16:16:32, 00:06:45,405.804,0,0," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State stop,1111," """"", BarsObs
7/19/2021, 16:16:32, 00:06:45,405.804,0.966,341.453," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State start,1111," """"", BarsObs
7/19/2021, 16:18:48, 00:09:01,541.334,0,0," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State stop,1111," """"", BarsObs
7/19/2021, 16:18:48, 00:09:01,541.334,1.392,4.26," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State start,1111," """"", BarsObs
7/19/2021, 16:18:52, 00:09:05,545.594,0,0," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State stop,1111," """"", BarsObs
7/19/2021, 16:18:52, 00:09:05,545.594,1.513,693.229," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State start,1111," """"", BarsObs
7/19/2021, 16:22:14, 00:12:27,747.256,0,0," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State stop,1111," """"", BarsObs
7/19/2021, 16:22:14, 00:12:27,747.256,1.759,5.153," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,1111," """"", BarsObs
7/19/2021, 16:22:19, 00:12:32,752.41,0,0," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State stop,1111," """"", BarsObs
7/19/2021, 16:22:19, 00:12:32,752.41,1.066,523.985," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State start,1111," """"", BarsObs
7/19/2021, 16:30:25, 00:20:38,1238.823,0,0," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State stop,1111," """"", BarsObs
7/19/2021, 16:30:25, 00:20:38,1238.823,1.578,5.38," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State start,1111," """"", BarsObs
7/19/2021, 16:30:31, 00:20:44,1244.204,0,0," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Feeding""",,,,,,, State stop,1111," """"", BarsObs
7/19/2021, 16:30:31, 00:20:44,1244.204,2.434,7.18," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State start,1111," """"", BarsObs
7/19/2021, 16:30:38, 00:20:51,1251.383,0,0," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State stop,1111," """"", BarsObs
7/19/2021, 16:30:38, 00:20:51,1251.383,2.316,8.362," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State start,1111," """"", BarsObs
7/19/2021, 16:30:46, 00:20:59,1259.745,0,0," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Sanitizing""",,,,,,, State stop,1111," """"", BarsObs
7/19/2021, 16:30:46, 00:20:59,1259.745,2.09,2.979," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State start,1111," """"", BarsObs
7/19/2021, 16:30:49, 00:21:02,1262.724,0,0," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Female"""," ""AN"""," ""Female"""," ""Perching""",,,,,,, State stop,1111," """"", BarsObs
7/19/2021, 16:30:49, 00:21:02,1262.724,1.01,624.057," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Female"""," ""GFN"""," ""Female""",,,,,,,, State start,1111," """"", BarsObs
7/19/2021, 16:31:03, 00:21:16,1276.395,0,0," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Male"""," ""GFN"""," ""Male""",,,,,,,, State stop,1111," """"", BarsObs
7/19/2021, 16:31:03, 00:21:16,1276.395,1.975,5.149," ""AdLib"""," ""LogAdLibitum 20210719_160946.csv"""," ""Male"""," ""AN"""," ""Male"""," ""Feeding""",,,,,,, State start,1111," """"", BarsObs
