female_band,male_band,nestling_band,hatch_order,nest,site,brood,hatch_date,sample_date,nestling_age,nestling_number,extract_time,nos_mites,mites_tp,rt_wing_length,mass_pre_obs,mass_post_obs,post_obs_extract_time,3min_glucose,3min_glucose_time,15min_glucose,15min_glucose_time,blood_amount_lysis,blood_amount_rna,lysis_sample,rna_sample,feathers,survive_at_sampling,notes
2850-57526,2640-97543,2811-39182,,123,Grizz,1,6/23/21,7/1/21,8,4,5:47,0,,27,11.92,12.1,7:40,220,2:31,192,18:27,,,,,,Y,post-obs extract time not recorded but likely around 7:40
2850-57526,2640-97543,2811-39175,,123,Grizz,1,6/23/21,7/1/21,8,4,5:47,0,,39,16.99,17.02,7:40,235,3:28,228,19:24,,,,,,Y,post-obs extract time not recorded but likely around 7:40
2850-57526,2640-97543,2811-39176,,123,Grizz,1,6/23/21,7/1/21,8,4,5:47,0,,36,15.49,15.67,7:40,229,4:00,235,20:00,,,,,,Y,post-obs extract time not recorded but likely around 7:40
2850-57526,2640-97543,2811-39174,,123,Grizz,1,6/23/21,7/5/21,12,4,4:18,0,,58,18.52,18.5,6:57,220,1:20,225,17:44,0.5,0.3,Y,Y,Y,Y,grub-like parasites in nest
2850-57526,2640-97543,2811-39176,,123,Grizz,1,6/23/21,7/5/21,12,4,4:18,0,,59.5,19.01,19.02,6:57,252,2:08,317,19:47,0.5,0.5,Y,Y,Y,Y,grub-like parasites in nest
2850-57526,2640-97543,2811-39175,,123,Grizz,1,6/23/21,7/5/21,12,4,4:18,0,,61,19.05,18.89,6:57,285,2:45,346,22:43,0.5,0.5,Y,Y,Y,Y,grub-like parasites in nest
2850-57526,2640-97543,2811-39182,,123,Grizz,1,6/23/21,7/5/21,12,4,4:18,0,,51.5,18.33,18.32,6:57,241,3:33,291,25:03:00,0.5,0.4,Y,Y,Y,Y,grub-like parasites in nest
2850-57864,2850-57865,,,7,Hayes,1,6/25/21,6/29/21,4,6,6:01,0,,7,2.47,2.5,8:45,,,,,,,,,,Y,day 2?
2850-57864,2850-57865,,,7,Hayes,1,6/25/21,6/29/21,4,6,6:01,0,,9,3.98,4.14,8:45,,,,,,,,,,Y,
2850-57864,2850-57865,,,7,Hayes,1,6/25/21,6/29/21,4,6,6:01,0,,10.5,4.12,4.21,8:45,,,,,,,,,,Y,
2850-57864,2850-57865,,,7,Hayes,1,6/25/21,6/29/21,4,6,6:01,0,,10.5,4.32,4.52,8:45,,,,,,,,,,Y,
2850-57864,2850-57865,,,7,Hayes,1,6/25/21,6/29/21,4,6,6:01,0,,11,4.89,5,8:45,,,,,,,,,,Y,
2850-57864,2850-57865,,,7,Hayes,1,6/25/21,6/29/21,4,6,6:01,0,,8,2.91,2.98,8:45,,,,,,,,,,Y,day 2?
2850-57618,UNB,,,17,Blue cloud,1,6/25/21,6/29/21,4,3,5:45,0,,12.5,6.78,6.84,7:15,,,,,,,,,,Y,parents feeding before measures
2850-57618,UNB,,,17,Blue cloud,1,6/25/21,6/29/21,3,3,5:45,0,,11.5,5.38,5.3,7:15,,,,,,,,,,Y,parents feeding before measures
2850-57618,UNB,,,17,Blue cloud,1,6/25/21,6/29/21,4,3,5:45,0,,13.5,7.73,7.64,7:15,,,,,,,,,,Y,parents feeding before measures
2850-57618,UNB,2811-39179,,17,Blue cloud,1,6/25/21,7/3/21,8,3,5:37,0,,34.5,17.5,17.35,7:20,204,1:00,191,16:15,,,,,,Y,
2850-57618,UNB,2811-39180,,17,Blue cloud,1,6/25/21,7/3/21,8,3,5:37,0,,34,17.08,16.71,7:20,211,1:52,287,17:30,,,,,,Y,
2850-57618,UNB,2811-39181,,17,Blue cloud,1,6/25/21,7/3/21,8,3,5:37,0,,25,13.2,13.28,7:20,125,2:20,113,17:50,,,,,,Y,distended belly
2850-57618,UNB,2811-39180,,17,Blue cloud,1,6/25/21,7/7/21,12,2,4:34,3,,58,21.41,20.95,6:55,193,1:26,245,16:40,0.4,0.5,Y,Y,Y,Y,
2850-57618,UNB,2811-39179,,17,Blue cloud,1,6/25/21,7/7/21,12,2,4:34,0,,59.5,19.53,19.45,6:55,228,3:20,244,19:00,0.5,0.5,Y,Y,Y,Y,
2850-57618,UNB,2811-39181,,17,Blue cloud,1,6/25/21,7/7/21,12,2,,,,,,,,,,,,,,N,N,N,N,
2850-57905,2850-57554,,,24,Schaaps,1,6/27/21,7/1/21,4,3,,,,,,,,,,,,,,,,,N,
2850-57905,2850-57554,,,24,Schaaps,1,6/27/21,7/1/21,4,3,3:53,0,,12,5.35,5.73,8:24,,,,,,,,,,Y,
2850-57905,2850-57554,,,24,Schaaps,1,6/27/21,7/1/21,4,3,3:53,0,,11.5,5.33,5.49,8:24,,,,,,,,,,Y,
2850-57905,2850-57554,,,24,Schaaps,1,6/27/21,7/1/21,4,3,3:53,0,,11,4.81,5.18,8:24,,,,,,,,,,Y,
2850-57905,2850-57554,2811-39189,,24,Schaaps,1,6/27/21,7/6/21,9,3,4:49,0,,39,16.03,16.53,9:03,174,1:45,187,17:11,,,,,,Y,
2850-57905,2850-57554,2811-39188,,24,Schaaps,1,6/27/21,7/6/21,9,3,4:49,0,,37,15.6,16,9:03,209,2:17,204,18:05,,,,,,Y,
2850-57905,2850-57554,2811-39187,,24,Schaaps,1,6/27/21,7/6/21,9,3,4:49,1,,39,15.87,16.6,9:03,194,2:59,234,18:53,,,,,,Y,
2850-57905,2850-57554,2811-39189,,24,Schaaps,1,6/27/21,7/10/21,13,3,5:04,0,,61.5,19.19,19.54,9:35,197,1:35,243,17:04,0.5,0.4,Y,Y,Y,Y,
2850-57905,2850-57554,2811-39187,,24,Schaaps,1,6/27/21,7/10/21,13,3,5:04,1,,64.5,18.35,17.92,9:35,196,2:17,239,18:43,0.6,0.6,Y,Y,Y,Y,
2850-57905,2850-57554,2811-39188,,24,Schaaps,1,6/27/21,7/10/21,13,3,5:04,0,,61.5,19.49,18.92,9:35,226,3:25,255,20:10,,,,,Y,Y,
2850-57617,2850-57624,,,4,Urban Farm,1,6/28/21,7/1/21,3,3,4:20,0,,8.5,3.72,3.81,8:38,,,,,,,,,,Y,
2850-57617,2850-57624,,,4,Urban Farm,1,6/28/21,7/1/21,3,3,4:20,0,,10.5,4.81,4.66,8:38,,,,,,,,,,Y,
2850-57617,2850-57624,,,4,Urban Farm,1,6/28/21,7/1/21,3,3,4:20,0,,9.5,4.46,4.44,8:38,,,,,,,,,,Y,
2850-57617,2850-57624,2811-39186,,4,Urban Farm,1,6/28/21,7/6/21,8,3,3:59,0,,28.5,12.54,13.12,9:24,181,1:20,178,16:24,,,,,,Y,Day 6 or 7
2850-57617,2850-57624,2811-39185,,4,Urban Farm,1,6/28/21,7/6/21,8,3,3:59,0,,31,13.31,14.35,9:24,183,2:15,180,17:10,,,,,,Y,Day 6 or 7
2850-57617,2850-57624,2811-39184,,4,Urban Farm,1,6/28/21,7/6/21,8,3,3:59,0,,32,12.61,13.53,9:24,173,3:01,153,18:00,,,,,,Y,Day 6 or 7
2850-57617,2850-57624,2811-39185,,4,Urban Farm,1,6/28/21,7/11/21,13,3,4:38,3,,61,18.17,18.22,4:38,189,1:05,251,17:02,0.5,0.5,Y,Y,Y,Y,
2850-57617,2850-57624,2811-39186,,4,Urban Farm,1,6/28/21,7/11/21,13,3,4:38,4,,57,16.63,17.52,4:38,230,2:29,290,19:21,0.5,0.5,Y,Y,Y,Y,
2850-57617,2850-57624,2811-39184,,4,Urban Farm,1,6/28/21,7/11/21,13,3,4:38,2,,62,17.42,18.39,4:38,176,3:06,195,21:22,0.4,0.4,Y,Y,Y,Y,
2850-57854,2850-57602,,,18,Cooks,1,6/28/21,7/2/21,4,4,6:07,0,,12,5.97,6.07,7:40,,,,,,,,,,Y,
2850-57854,2850-57602,,,18,Cooks,1,6/28/21,7/2/21,4,4,6:07,0,,12,5.64,5.73,7:40,,,,,,,,,,Y,
2850-57854,2850-57602,,,18,Cooks,1,6/28/21,7/2/21,4,4,6:07,0,,13.5,6.74,6.95,7:40,,,,,,,,,,Y,
2850-57854,2850-57602,,,18,Cooks,1,6/28/21,7/2/21,3,4,6:07,0,,9.5,4.15,4.34,7:40,,,,,,,,,,Y,
2850-57854,2850-57602,2811-39193,,18,Cooks,1,6/28/21,7/6/21,8,4,5:40,1,,31.5,14.75,14.91,7:29,185,1:05,190,16:21,,,,,,Y,
2850-57854,2850-57602,2811-39192,,18,Cooks,1,6/28/21,7/6/21,8,4,5:40,0,,37,16.44,16.33,7:29,225,1:45,226,17:23,,,,,,Y,
2850-57854,2850-57602,2811-39191,,18,Cooks,1,6/28/21,7/6/21,8,4,5:40,0,,28,12.56,12.85,7:29,203,2:35,202,18:16,,,,,,Y,
2850-57854,2850-57602,2811-39190,,18,Cooks,1,6/28/21,7/6/21,8,4,5:40,0,,32,15.82,15.52,7:29,189,3:08,209,19:00,,,,,,Y,
2850-57854,2850-57602,2811-39193,,18,Cooks,1,6/28/21,7/10/21,13,4,5:55,0,,55.5,19.25,19.15,7:41,173,1:37,257,18:34,0.1,0.1,Y,Y,Y,Y,did not bleed much; female was not on nest... possibly not fasted?
2850-57854,2850-57602,2811-39191,,18,Cooks,1,6/28/21,7/10/21,13,4,5:55,0,,53,18.72,18.83,7:41,251,2:35,278,20:31,0.6,0.6,Y,Y,Y,Y,female was not on nest... possibly not fasted?
2850-57854,2850-57602,2811-39192,,18,Cooks,1,6/28/21,7/10/21,13,4,5:55,0,,61.5,19.65,19.64,7:41,235,3:20,220,22:01,0.6,0.6,Y,Y,Y,Y,female was not on nest... possibly not fasted?
2850-57854,2850-57602,2811-39190,,18,Cooks,1,6/28/21,7/10/21,13,4,5:55,0,,59,19.95,19.84,7:41,232,4:27,217,23:56,0.6,0.7,Y,Y,Y,Y,female was not on nest... possibly not fasted?
2850-57722,2850-57724,,,46,Van loon,1,7/1/21,7/5/21,4,5,6:02,0,,13,6.55,6.58,7:40,,,,,,,,,,Y,
2850-57722,2850-57724,,,46,Van loon,1,7/1/21,7/5/21,3,5,6:02,0,,9,3.63,3.78,7:40,,,,,,,,,,Y,
2850-57722,2850-57724,,,46,Van loon,1,7/1/21,7/5/21,3,5,6:02,0,,10.5,5.01,5.02,7:40,,,,,,,,,,Y,
2850-57722,2850-57724,,,46,Van loon,1,7/1/21,7/5/21,4,5,6:02,0,,11,5.75,5.67,7:40,,,,,,,,,,Y,
2850-57722,2850-57724,,,46,Van loon,1,7/1/21,7/5/21,4,5,6:02,0,,12,6.3,6.09,7:40,,,,,,,,,,Y,
2850-57722,2850-57724,2811-39195,,46,Van loon,1,7/1/21,7/10/21,9,5,3:43,0,,31,12.72,13.47,8:26,214,1:40,201,18:58,,,,,,Y,
2850-57722,2850-57724,2811-39200,,46,Van loon,1,7/1/21,7/10/21,9,5,3:43,0,,34,13.24,12.53,8:26,223,2:37,230,19:49,,,,,,Y,
2850-57722,2850-57724,2811-39194,,46,Van loon,1,7/1/21,7/10/21,9,5,3:43,0,,38,15.29,16.02,8:26,226,3:24,246,20:50,,,,,,Y,
2850-57722,2850-57724,2811-39028,,46,Van loon,1,7/1/21,7/10/21,9,5,3:43,0,,36,14.56,15.48,8:26,224,4:08,216,22:40,,,,,,Y,
2850-57722,2850-57724,2811-39196,,46,Van loon,1,7/1/21,7/10/21,9,5,3:43,0,,38.5,14.33,14.97,8:26,215,4:55,224,23:39,,,,,,Y,
2850-57722,2850-57724,2811-39194,,46,Van loon,1,7/1/21,7/13/21,12,5,5:07,0,,52.5,17.2,17.19,7:34,149,1:35,201,16:37,0.5,0.7,Y,Y,Y,Y,
2850-57722,2850-57724,2811-39200,,46,Van loon,1,7/1/21,7/13/21,12,5,5:07,0,,49.5,15.62,15.67,7:34,166,2:15,179,18:05,0.5,0.3,Y,Y,Y,Y,
2850-57722,2850-57724,2811-39028,,46,Van loon,1,7/1/21,7/13/21,12,5,5:07,0,,51.5,17.16,17.11,7:34,160,2:46,181,19:30,0.4,0.4,Y,Y,Y,Y,
2850-57722,2850-57724,2811-39196,,46,Van loon,1,7/1/21,7/13/21,12,5,5:07,0,,56,16.1,16.65,7:34,186,3:25,204,21:25,0.4,0.4,Y,Y,Y,Y,
2850-57722,2850-57724,2811-39195,,46,Van loon,1,7/1/21,7/13/21,12,5,5:07,0,,49,16.13,16.23,7:34,173,3:55,223,22:50,0.3,0.2,Y,Y,Y,Y,
2850-57559,UNK,,,98,Schaaps,1,7/3/21,7/6/21,3,2,4:45,,,8.5,5.2,5.6,8:56,,,,,,,,,,Y,1 egg in nest 
2850-57559,UNK,,,98,Schaaps,1,7/3/21,7/6/21,3,2,4:45,,,10.5,5.17,5.68,8:56,,,,,,,,,,Y,
2850-57559,UNK,,,98,Schaaps,1,7/3/21,7/11/21,8,2,,,,,,,,,,,,,,,,,N,"this nestling was still an egg on nest day three but hatched by 8-July, and was gone by 11-Jul."
2850-57559,UNK,2811-39029,,98,Schaaps,1,7/3/21,7/11/21,8,2,3:49,0,,35.5,17.11,18.31,10:13,222,1:10,241,16:42,,,,,,Y,
2850-57559,UNK,2811-39030,,98,Schaaps,1,7/3/21,7/11/21,8,2,3:49,0,,35.5,7.55,19.09,10:13,216,2:33,202,17:50,,,,,,Y,
2850-57559,UNK,2811-39029,,98,Schaaps,1,7/3/21,7/16/21,13,2,4:34,1,,66,21.16,21.61,9:08,201,1:13,223,16:15,0.5,0.5,Y,Y,Y,Y,no eggs in nest 
2850-57559,UNK,2811-39030,,98,Schaaps,1,7/3/21,7/16/21,13,2,4:34,1,,67,22.36,22.71,9:08,183,2:02,239,18:05,0.3,0.2,Y,Y,Y,Y,
2850-57709,2850-57852,,,2,Hoops,1,7/4/21,7/7/21,2,4,5:28,0,,9.5,4.17,4.16,7:03,,,,,,,,,,Y,
2850-57709,2850-57852,,,2,Hoops,1,7/4/21,7/7/21,3,4,5:28,0,,10,4.55,4.72,7:03,,,,,,,,,,Y,
2850-57709,2850-57852,,,2,Hoops,1,7/4/21,7/7/21,2,4,5:28,0,,8.5,3.38,3.51,7:03,,,,,,,,,,Y,
2850-57709,2850-57852,,,2,Hoops,1,7/4/21,7/7/21,1,4,5:28,0,,7.5,2.19,2.28,7:03,,,,,,,,,,Y,
2850-57709,2850-57852,2811-39037,,2,Hoops,1,7/4/21,7/13/21,8,4,5:44,0,,30,13.82,14.21,7:25,188,0:58,201,16:00,,,,,,Y,mom off nest + birds foraging
2850-57709,2850-57852,2811-39035,,2,Hoops,1,7/4/21,7/13/21,8,4,5:44,0,,38,17.66,17.56,7:25,184,1:33,206,16:48,,,,,,Y,mom off nest + birds foraging
2850-57709,2850-57852,2811-39036,,2,Hoops,1,7/4/21,7/13/21,8,4,5:44,0,,40.5,17.31,17.8,7:25,212,2:07,230,17:21,,,,,,Y,mom off nest + birds foraging
2850-57709,2850-57852,2811-39034,,2,Hoops,1,7/4/21,7/13/21,8,4,5:44,0,,37.5,16.95,16.84,7:25,184,2:35,189,17:50,,,,,,Y,mom off nest + birds foraging
2850-57709,2850-57852,2811-39034,,2,Hoops,1,7/4/21,7/16/21,12,4,5:29,0,,54,19.7,19.19,7:48,178,0:58,231,16:38,0.6,0.5,Y,Y,Y,Y,
2850-57709,2850-57852,2811-39037,,2,Hoops,1,7/4/21,7/16/21,12,4,5:29,0,,46,18.62,18.78,7:48,189,1:30,213,18:23,0.5,0.5,Y,Y,Y,Y,
2850-57709,2850-57852,2811-39035,,2,Hoops,1,7/4/21,7/16/21,12,4,5:29,0,,55.5,20.51,20.11,7:48,178,2:06,211,20:05,0.5,0.5,Y,Y,Y,Y,
2850-57709,2850-57852,2811-39036,,2,Hoops,1,7/4/21,7/16/21,12,4,5:29,0,,60,19.87,19.79,7:48,215,2:42,241,21:56,0.75,0.4,Y,Y,Y,Y,
2850-957609,2850-57557,,,6,Cooks,1,7/4/21,7/8/21,3,5,5:40,1,,11.5,5.09,5,7:38,,,,,,,,,,Y,
2850-957609,2850-57557,,,6,Cooks,1,7/4/21,7/8/21,2,5,5:40,0,,8,2.54,2.22,7:38,,,,,,,,,,Y,
2850-957609,2850-57557,,,6,Cooks,1,7/4/21,7/8/21,3,5,5:40,0,,10.5,5.29,5.27,7:38,,,,,,,,,,Y,individual seemed lethargic/ not as active as others
2850-957609,2850-57557,,,6,Cooks,1,7/4/21,7/8/21,3,5,5:40,0,,10,4.38,4.43,7:38,,,,,,,,,,Y,
2850-957609,2850-57557,,,6,Cooks,1,7/4/21,7/8/21,4,5,5:40,0,,12,5.66,5.38,7:38,,,,,,,,,,Y,
2850-957609,2850-57557,,,6,Cooks,1,7/4/21,7/13/21,9,4,,,,,,,,,,,,,,,,,N,
2850-957609,2850-57557,2811-39031,,6,Cooks,1,7/4/21,7/13/21,9,4,3:58,0,,39.5,13.96,14.23,8:24,189,1:28,192,17:05,,,,,,Y,
2850-957609,2850-57557,2811-39032,,6,Cooks,1,7/4/21,7/13/21,9,4,3:58,0,,36,14.66,1.66,8:24,159,2:06,183,18:10,,,,,,Y,
2850-957609,2850-57557,2811-39045,,6,Cooks,1,7/4/21,7/13/21,9,4,3:58,0,,25,10.12,10.12,8:24,173,2:51,168,18:55,,,,,,Y,too small to band 
2850-957609,2850-57557,2811-39033,,6,Cooks,1,7/4/21,7/13/21,9,4,3:58,1,,35.5,12.77,12.77,8:24,198,3:30,191,19:55,,,,,,Y,
2850-957609,2850-57557,2811-39031,,6,Cooks,1,7/4/21,7/16/21,12,4,3:37,1,,52.5,17.23,17.21,9:51,199,1:06,232,16:30,0.4,0.4,Y,Y,Y,Y,
2850-957609,2850-57557,2811-39033,,6,Cooks,1,7/4/21,7/16/21,12,4,3:37,0,,50.5,17.09,16.6,9:51,195,1:45,224,17:55,0.7,0.5,Y,Y,Y,Y,
2850-957609,2850-57557,2811-39045,,6,Cooks,1,7/4/21,7/16/21,12,4,3:37,0,,44,16.46,16.6,9:51,182,2:27,210,19:33,0.5,0.5,N,Y,Y,Y,
2850-957609,2850-57557,2811-39032,,6,Cooks,1,7/4/21,7/16/21,12,4,3:37,0,,53.5,18.42,8.37,9:51,191,3:01,229,21:16,0.5,0.3,Y,Y,Y,Y,
2850-57608,2850-57615,,,5,Urban Farm,1,7/6/21,7/11/21,3,4,5:11,0,,9.5,3.69,3.79,9:41,,,,,,,,,,Y,
2850-57608,2850-57615,,,5,Urban Farm,1,7/6/21,7/11/21,5,4,5:11,0,,13,6.13,6.57,9:41,,,,,,,,,,Y,
2850-57608,2850-57615,,,5,Urban Farm,1,7/6/21,7/11/21,5,4,5:11,0,,11.5,4.82,5.35,9:41,,,,,,,,,,Y,
2850-57608,2850-57615,,,5,Urban Farm,1,7/6/21,7/11/21,3,4,5:11,0,,8.5,2.87,3.1,9:41,,,,,,,,,,Y,
2850-57608,2850-57615,2811-39042,,5,Urban Farm,1,7/6/21,7/15/21,9,4,5:36,0,,33.5,14.26,14.12,7:42,188,1:16,197,16:30,,,,,,Y,
2850-57608,2850-57615,2811-39043,,5,Urban Farm,1,7/6/21,7/15/21,9,4,5:36,0,,33.5,11.37,11.22,7:42,226,2:03,228,17:07,,,,,,Y,
2850-57608,2850-57615,2811-39044,,5,Urban Farm,1,7/6/21,7/15/21,9,4,5:36,0,,22,9.4,9.44,7:42,217,2:43,234,17:34,,,,,,Y,
2850-57608,2850-57615,2811-39050,,5,Urban Farm,1,7/6/21,7/15/21,9,4,5:36,0,,19,8.27,8.36,7:42,186,3:28,198,18:20,,,,,,Y,
2850-57608,2850-57615,2811-39043,,5,Urban Farm,1,7/6/21,7/19/21,13,4,4:24,0,,50.5,14.94,15.81,8:03,198,1:20,243,16:43,0.5,0.5,Y,Y,Y,Y,
2850-57608,2850-57615,2811-39042,,5,Urban Farm,1,7/6/21,7/19/21,13,4,4:24,0,,55,15.93,16.29,8:03,175,1:58,265,18:25,0.5,0.5,Y,Y,Y,Y,
2850-57608,2850-57615,2811-39044,,5,Urban Farm,1,7/6/21,7/19/21,13,4,4:24,0,,42,12.31,12.9,8:03,139,2:39,145,19:54,0.2,0.2,N,Y,Y,Y,
2850-57608,2850-57615,2811-39050,,5,Urban Farm,1,7/6/21,7/19/21,13,4,4:24,0,,42,12.09,12.59,8:03,178,3:08,198,21:41,0.4,0.4,Y,Y,Y,Y,
2850-57556,2850-57538,,,59,Schaaps,1,7/6/21,7/10/21,3,4,4:45,0,,11,5.32,5.31,9:45,,,,,,,,,,Y,"nestlings freezing, female not on nest "
2850-57556,2850-57538,,,59,Schaaps,1,7/6/21,7/10/21,4,4,4:45,1,,12,6.05,6.41,9:45,,,,,,,,,,Y,
2850-57556,2850-57538,,,59,Schaaps,1,7/6/21,7/10/21,3,4,4:45,0,,10.5,5.19,5.36,9:45,,,,,,,,,,Y,
2850-57556,2850-57538,,,59,Schaaps,1,7/6/21,7/10/21,4,4,4:45,0,,12,5.93,6.11,9:45,,,,,,,,,,Y,
2850-57556,2850-57538,2811-39038,,59,Schaaps,1,7/6/21,7/15/21,9,4,4:58,1,,35,14.41,14.72,8:03,229,0:52,273,16:04,,,,,,Y,nasty disgusting blowfly larvae
2850-57556,2850-57538,2811-39039,,59,Schaaps,1,7/6/21,7/15/21,9,4,4:58,0,,37,15.33,14.25,8:03,185,1:32,169,16:36,,,,,,Y,
2850-57556,2850-57538,2811-39040,,59,Schaaps,1,7/6/21,7/15/21,9,4,4:58,0,,38,15.37,16.09,8:03,201,1:52,266,17:07,,,,,,Y,
2850-57556,2850-57538,2811-39041,,59,Schaaps,1,7/6/21,7/15/21,9,4,4:58,0,,34.5,14.18,14.78,8:03,213,2:16,236,17:36,,,,,,Y,
2850-57556,2850-57538,2811-39040,,59,Schaaps,1,7/6/21,7/19/21,13,4,3:41,5,,62,17.77,17.73,9:07,177,1:04,226,16:07,0.5,0.3,Y,Y,Y,Y,mosquito swarm around nest 
2850-57556,2850-57538,2811-39041,,59,Schaaps,1,7/6/21,7/19/21,13,4,3:41,14,,55,18.2,18.37,9:07,211,1:52,263,18:27,0.5,0.5,Y,Y,Y,Y,
2850-57556,2850-57538,2811-39039,,59,Schaaps,1,7/6/21,7/19/21,13,4,3:41,7,,61,18.18,18.07,9:07,194,2:27,257,19:51,0.5,0.5,Y,Y,Y,Y,
2850-57556,2850-57538,2811-39038,,59,Schaaps,1,7/6/21,7/19/21,13,4,3:41,7,,58.5,17.55,17.06,9:07,182,2:52,241,21:32,0.4,0.5,Y,Y,Y,Y,
2850-57725,2850-57508,,,11,Hoops,1,7/8/21,7/11/21,3,4,5:45,0,,9.5,4.21,4.32,9:09,,,,,,,,,,Y,
2850-57725,2850-57508,,,11,Hoops,1,7/8/21,7/11/21,2,4,5:45,0,,7,2.23,2.38,9:09,,,,,,,,,,Y,
2850-57725,2850-57508,,,11,Hoops,1,7/8/21,7/11/21,2,4,5:45,0,,6.5,2.14,2.3,9:09,,,,,,,,,,Y,
2850-57725,2850-57508,,,11,Hoops,1,7/8/21,7/11/21,3,4,5:45,0,,9,3.36,3.62,9:09,,,,,,,,,,Y,
2850-57725,2850-57508,2811-39049,,11,Hoops,1,7/8/21,7/16/21,8,4,5:56,0,,24,10.91,11.01,7:46,197,1:33,202,17:28,,,,,,Y,
2850-57725,2850-57508,2811-39048,,11,Hoops,1,7/8/21,7/16/21,8,4,5:56,0,,34.5,14.79,14.49,7:46,184,2:37,159,19:31,,,,,,Y,
2850-57725,2850-57508,2811-39047,,11,Hoops,1,7/8/21,7/16/21,8,4,5:56,0,,24,10.56,10.63,7:46,205,3:25,180,18:45,,,,,,Y,
2850-57725,2850-57508,2811-39046,,11,Hoops,1,7/8/21,7/16/21,8,4,5:56,0,,32,12.79,12.58,7:46,192,4:15,177,20:10,,,,,,Y,
2850-57725,2850-57508,2811-39049,,11,Hoops,1,7/8/21,7/19/21,11,4,5:32,0,,40.5,15.78,15.7,7:26,163,1:40,179,16:56,0.3,0.3,Y,Y,N,Y,too small to take feathers
2850-57725,2850-57508,2811-39048,,11,Hoops,1,7/8/21,7/19/21,11,4,5:32,0,,50.5,16.87,16.34,7:26,154,2:10,194,18:43,0.5,0.5,Y,Y,Y,Y,
2850-57725,2850-57508,2811-39047,,11,Hoops,1,7/8/21,7/19/21,11,4,5:32,0,,42,14.71,14.46,7:26,184,2:36,198,20:05,0.4,0.3,Y,Y,N,Y,too small to take feathers
2850-57725,2850-57508,2811-39046,,11,Hoops,1,7/8/21,7/19/21,11,4,5:32,0,,49.5,15.78,15.27,7:26,179,3:15,219,21:37,0.5,0.4,Y,Y,Y,Y,
