"","female_band","male_band","nest","site","nest_id","obs_date","observer","obs_method","nestling_age","nestling_number","obs_state","blind_camera_distance","obs_start_time","obs_end_time","obs_duration","total_visits","female_visits","male_visits","total_feeding_visits","female_feeding_visits","male_feeding_visits","total_sanitizing_visits","female_sanitizing_visits","male_sanitizing_visits","total_an_duration","female_an_duration","male_an_duration","total_brooding_duration","female_brooding_duration","male_brooding_duration","tert_tot_visit","tert_tot_feed","tert_tot_time","tert_tot_brood","trial_temp","min_temp","max_temp","trial_humidity","wind_speed","wind_gust","cloud_cover","obs_max_temp","obs_avg_temp","obs_min_temp","obs_max_humid","obs_avg_humid","obs_min_humid","hours_low","hours_med","hours_high","hours_very_high","hours_in_day","devel_max_temp","devel_avg_temp","devel_min_temp","devel_max_humid","devel_avg_humid","devel_min_humid","devel_hours_low","devel_hours_med","devel_hours_high","devel_hours_very_high","devel_hours_in_stage","nest_max_temp","nest_avg_temp","nest_min_temp","nest_max_humid","nest_avg_humid","nest_min_humid","nest_hours_low","nest_hours_med","nest_hours_high","nest_hours_very_high","nest_hours_in_stage","avg_nestl_mass","avg_wing_chord","avg_nestl_growth","avg_wing_growth","brood_nos_mites","brood_mite_bin","notes_obs"
"11","2850-57520","UNB",156,"grizz","grizz 156",2021-06-17,"ZML","person",9,4,"mid",5.64,"6:06","7:06",3605.086,15,5,10,12,4,8,26,23,3,2154.071,1514.585,639.486,970.084,970.084,0,2,2,2,2,18,18,39.1,37.8,0,0,"partly",19.7,18.65,17.9,43.3,41.4,39.2,2.25,5.25,4.5,12,24,39.7,27.0977130977131,10.7,64.3,36.2266112266112,15.7,21.75,22.5,20.75,55.25,120.25,40.1,25.8489847715736,10.7,65.5,35.6225042301184,14.8,63.25,60.75,54.25,117.25,295.5,10.045,30.5,4.9425,19.375,0,"no",""
"12","2850-57520","UNB",156,"grizz","grizz 156",2021-06-21,"ZML","person",13,3,"late",5.26,"6:15","7:15",3616.141,6,1,4,5,0,4,0,0,0,2647.007,2538.158,103.066,0,0,0,1,1,3,1,15.1,15,39.1,65,0,0,"mostly",15.4,15.2,15,65.5,65.18,65,0.25,10.5,4.75,8.5,24,40.1,25.5177215189873,15,65.5,38.0681012658228,15.9,19,24,19.5,36.25,98.75,40.1,25.8489847715736,10.7,65.5,35.6225042301184,14.8,63.25,60.75,54.25,117.25,295.5,15.58,55.1666666666667,5.535,24.6666666666667,0,"no",""
"13","2640-97390","2850-57866",139,"grizz","grizz 139",2021-06-12,"APP","person",3,4,"early",6.5,"5:45","6:46",3642.022,17,7,10,7,4,3,16,16,0,3532.759,2767.347,765.412,2339.763,2322.257,17.506,2,1,3,1,11.2,12.3,31.4,47.8,0,0,"clear",12.1,11.4,10.9,50.2,49.125,48.1,4.5,8.25,6.5,4.75,24,36,24.2804560260586,11.8,57.5,30.5986970684039,13.7,22,14.25,15,25.5,76.75,39.7,25.8224386113463,10.9,65.4,34.9328535139712,13.7,61.75,60.75,56.75,116,295.25,3.6125,8.625,3.6125,8.625,0,"no","start habituation 5:25"
"14","2640-97390","2850-57866",139,"grizz","grizz 139",2021-06-17,"APP","person",8,4,"mid",5.94,"6:06","7:06",3635.203,15,7,8,10,5,5,6,3,3,2833.955,1948.297,885.658,1673.068,1673.068,0,2,2,3,2,18.3,11.2,38.9,37.1,0,0,"partly",20.1,18.95,18.1,43.5,40.925,38.6,2.5,5.25,4,12.25,24,39.3,27.0412008281574,10.9,64.1,35.4813664596273,14.4,22.25,22.5,21,55,120.75,39.7,25.8224386113463,10.9,65.4,34.9328535139712,13.7,61.75,60.75,56.75,116,295.25,9.59,27.625,5.9775,19,0,"no","start habituation 5:51"
"15","2640-97390","2850-57866",139,"grizz","grizz 139",2021-06-21,"APP","person",12,3,"late",5.38,"6:15","7:15",3611.702,8,4,4,6,3,3,1,1,0,1697.595,942.9,754.695,624.13,624.13,0,1,1,3,3,15.3,15.2,33.1,65.3,0,0,"mostly",15.5,15.35,15.2,65.4,65.175,64.9,0,10.25,5.5,8.25,24,39.7,25.527621483376,15.2,65.4,37.6583120204604,14.1,17.5,24,20.75,35.5,97.75,39.7,25.8224386113463,10.9,65.4,34.9328535139712,13.7,61.75,60.75,56.75,116,295.25,15.74,48.3333333333333,6.15,20.7083333333333,0,"no","start habituation 6:03"
"16","2640-97484","MB R",102,"grizz","grizz 102",2021-06-12,"SAM","person",3,4,"early",5,"5:45","6:45",3602.869,22,12,10,5,2,3,7,7,0,3501.791,2207.557,1294.234,3109.929,2022.809,1087.12,3,1,3,3,11.3,11.3,29.7,46.8,0,0,"clear",13.1,11.72,11,51.2,49.24,47.3,4.25,8,8.75,3,24,35.8,23.961038961039,11.7,57.7,31.0974025974026,15.2,22,13.75,17.5,23.75,77,39.3,25.5571065989848,11,63.2,35.4345177664975,15.2,61.5,59.25,59.5,115.25,295.5,3.9425,8.625,3.9425,8.625,0,"no",""
"17","2640-97484","MB R",102,"grizz","grizz 102",2021-06-17,"SAM","person",8,4,"mid",3.99,"6:06","7:06",3609.736,20,12,8,16,10,6,15,10,5,2640.052,1455.014,1185.038,1106.851,1001.545,105.306,3,3,2,2,18.2,18.1,37.7,37,0,0,"partly",20.1,18.925,18.1,43.1,40.75,38.2,2.25,5.25,4.25,12.25,24,37.6,26.8129979035639,11,63.2,36.167714884696,15.5,20.75,21.75,20.25,56.5,119.25,39.3,25.5571065989848,11,63.2,35.4345177664975,15.2,61.5,59.25,59.5,115.25,295.5,10.9475,28.75,7.005,20.125,0,"no",""
"18","2640-97484","MB R",102,"grizz","grizz 102",2021-06-21,"SAM","person",12,4,"late",4.34,"6:15","7:15",3605.86,20,13,7,18,12,6,3,3,0,607.647,428.373,179.274,0,0,0,2,2,2,1,15.3,15.2,31.2,62.8,0,0,"mostly",15.6,15.4,15.2,63.2,63.08,62.8,0,10.25,5,8.75,24,39.3,25.2863979848867,15.2,63.2,37.9183879093199,15.2,18.75,23.75,21.75,35,99.25,39.3,25.5571065989848,11,63.2,35.4345177664975,15.2,61.5,59.25,59.5,115.25,295.5,16.42,52.875,5.4725,24.125,0,"no",""
"19","2850-57482","2850-57716",46,"grizz","grizz 46",2021-06-14,"SAM","person",3,1,"early",2.79,"6:00","7:00",3608.87,11,6,5,7,3,4,20,16,4,3480.781,2570.501,910.28,2626.791,1877.459,749.332,1,1,2,1,17.1,14.4,36.6,61.5,0,0,"clear",18.6,17.925,17.2,63.5,63.2,62.9,7,1.75,3.75,11.5,24,36.6,26.2043956043956,14.4,59.2,38.5065934065934,22.7,9.75,7.25,7.75,20.75,45.5,39.2,25.6748344370861,12.6,67.9,38.1325449385052,15.5,54.25,54.5,54.5,101,264.25,4.4,10,4.4,10,0,"no",""
"20","2850-57482","2850-57716",46,"grizz","grizz 46",2021-06-19,"ZML","person",8,1,"mid",5.18,"6:13","7:13",3597.451,11,6,5,8,4,4,11,9,2,1923.285,1308.959,614.326,1428.768,876.162,552.606,1,1,1,2,16.5,16.4,35.3,55.5,0,0,"partly",17.1,16.725,16.4,57.5,56.575,55.9,3.75,4.75,5,10.5,24,39.2,27.553112033195,16.5,63.6,34.4665975103734,15.5,15.75,24.5,23.25,57,120.5,39.2,25.6748344370861,12.6,67.9,38.1325449385052,15.5,54.25,54.5,54.5,101,264.25,14.22,32,9.82,22,0,"no","start habituation at 5:58; female seems to watch observer more than typical of Grizz birds"
