"","female_band","male_band","nest","site","nest_id","obs_date","observer","obs_method","nestling_age","nestling_number","obs_state","blind_camera_distance","obs_start_time","obs_end_time","obs_duration","total_visits","female_visits","male_visits","total_feeding_visits","female_feeding_visits","male_feeding_visits","total_sanitizing_visits","female_sanitizing_visits","male_sanitizing_visits","total_an_duration","female_an_duration","male_an_duration","total_brooding_duration","female_brooding_duration","male_brooding_duration","tert_tot_visit","tert_tot_feed","tert_tot_time","tert_tot_brood","trial_temp","min_temp","max_temp","trial_humidity","wind_speed","wind_gust","cloud_cover","obs_max_temp","obs_avg_temp","obs_min_temp","obs_max_humid","obs_avg_humid","obs_min_humid","hours_low","hours_med","hours_high","hours_very_high","hours_in_day","devel_max_temp","devel_avg_temp","devel_min_temp","devel_max_humid","devel_avg_humid","devel_min_humid","devel_hours_low","devel_hours_med","devel_hours_high","devel_hours_very_high","devel_hours_in_stage","nest_max_temp","nest_avg_temp","nest_min_temp","nest_max_humid","nest_avg_humid","nest_min_humid","nest_hours_low","nest_hours_med","nest_hours_high","nest_hours_very_high","nest_hours_in_stage","avg_nestl_mass","avg_wing_chord","avg_nestl_growth","avg_wing_growth","brood_nos_mites","brood_mite_bin","notes_obs"
"31","2850-57861","2850-57713",6,"grizz","grizz 6",2021-06-19,"HS4","camera",4,2,"early",0.97,"6:00","7:00",3602.078,12,5,7,6,2,4,12,8,4,3217.097,2458.512,758.585,2778.866,2184.345,594.521,1,1,1,2,16.7,16.6,37.5,53.4,0,0,"partly",16.8,16.65,16.6,54.7,54,53.5,4,4.25,5,10.75,24,40.2,27.5086848635236,16.2,53.1,32.5990074441687,14.8,15.5,22.75,17,45.5,100.75,40.2,24.3983568075117,12.4,75.5,41.387558685446,14.8,84.25,74.25,67.5,93.5,319.5,4.895,11.5,4.895,11.5,0,"no",""
"32","2850-57861","2850-57713",6,"grizz","grizz 6",2021-06-24,"HS4","camera",9,2,"mid",0.76,"6:00","7:00",3613.853,20,8,12,15,4,11,21,19,2,2190.481,1562.976,627.505,934.089,877.745,56.344,3,2,2,2,20.7,15.9,37.4,44.2,0,0,"mostly",20.6,20.525,20.4,46.8,45.625,44.7,7.25,1.5,5,10.25,24,37.3,24.2388773388773,12.4,64.6,39.2361746361746,16.3,30,25.75,28.25,36.25,120.25,40.2,24.3983568075117,12.4,75.5,41.387558685446,14.8,84.25,74.25,67.5,93.5,319.5,15.085,38.75,10.19,27.25,0,"no",""
"33","2850-57861","2850-57713",6,"grizz","grizz 6",2021-06-28,"MJA","person",13,2,"late",5.49,"6:28","7:28",3598.439,23,9,14,25,8,17,1,1,0,NA,NA,NA,NA,NA,NA,2,2,NA,NA,15.2,14.2,29.7,67.8,0,0,"mostly",16.6,16.15,15.7,69.2,69.125,69,11.75,3.75,6.75,1.75,24,34.7,21.4116751269036,14.1,75.5,53.0032994923858,23.9,38.75,25.75,22.25,11.75,98.5,40.2,24.3983568075117,12.4,75.5,41.387558685446,14.8,84.25,74.25,67.5,93.5,319.5,20.99,60,5.905,21.25,0,"no","chillier than normal temps in barn; pair skittish or ZML completing obervation nearby; not very much visitation"
"34","2850-57604","2850-57701",110,"schaaps","schaaps 110",2021-06-19,"MJA","person",4,3,"early",2.74,"6:22","7:22",3608.476,16,8,7,22,10,12,17,11,6,NA,NA,NA,NA,NA,NA,2,3,NA,NA,16.6,16.6,37.5,53.3,0,0,"fully",18.4,18.25,18.1,54.8,52.375,50.4,0,4.25,11.5,8.25,24,34.2,25.9327777777778,19.5,52.1,33.8369444444444,17.9,0,31.25,28.25,30.5,90,34.2,22.7638866396761,13.2,71.5,43.477975708502,17.9,0,31.25,28.25,30.5,90,4.37,10.1666666666667,4.37,10.1666666666667,0,"no","possibly 3 adults at this nest (parents and a random UNB female or juvenile male?); no day 8 obs"
"35","2850-57604","2850-57701",110,"schaaps","schaaps 110",2021-06-28,"H8","camera",13,3,"late",0.91,"6:00","7:00",3112.684,8,5,3,9,6,3,2,2,0,514.217,495.519,18.698,169.724,169.724,0,1,1,1,3,15.5,15.1,21.9,61.1,0,0,"mostly",15.7,15.58,15.5,63.2,61.94,60.9,16,8,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.2,22.7638866396761,13.2,71.5,43.477975708502,17.9,0,31.25,28.25,30.5,90,19.3333333333333,55.8333333333333,NA,NA,1,"yes",""
"36","2850-57715","2850-57859",140,"grizz","grizz 140",2021-06-21,"MJA","person",4,2,"early",5.44,"6:15","7:15",3621.171,7,3,3,11,6,4,12,8,3,NA,NA,NA,NA,NA,NA,1,2,NA,NA,15,14.9,33.8,63.7,0,0,"mostly",15.4,15.2,15,64.5,64.125,63.9,0.25,10.25,4.75,8.75,24,40,25.5426065162907,15.5,61.2,36.9578947368421,14.8,16.75,27.75,19.5,35.75,99.75,40,23.320593220339,12,77.7,44.2401694915254,14.8,89.25,70,63.5,72.25,295,3.79,9,3.79,9,0,"no","3 UNB males perching/singing near nest; HOFI nest nearby and enters barn 6 times"
"37","2850-57715","2850-57859",140,"grizz","grizz 140",2021-06-26,"MJA","person",9,2,"mid",2.82,"6:13","7:13",3109.687,12,5,7,19,10,9,6,6,0,NA,NA,NA,NA,NA,NA,2,3,NA,NA,15,14.7,31.5,73.5,0,0,"mostly",18.5,16.825,15.3,77.7,75.975,74.3,8.75,8.5,4,2.75,24,36.8,23.4100823045267,12,74.1,43.8705761316872,16.9,37.25,26.25,25,33,121.5,40,23.320593220339,12,77.7,44.2401694915254,14.8,89.25,70,63.5,72.25,295,11.55,27.5,7.76,18.5,0,"no","HOFI visits nearby nest 3 times; male has growth on its bill; asynchronous hatch...one nestling may be only day 5"
"38","2850-57715","2850-57859",140,"grizz","grizz 140",2021-06-29,"MJA","person",12,2,"late",3.25,"5:55","6:55",3600.933,12,5,7,18,5,13,4,1,3,NA,NA,NA,NA,NA,NA,1,2,NA,NA,13.4,13.4,27.7,63.6,0,0,"partly",13.9,13.58,13.3,67,65.06,64,10.25,6.25,7.5,0,24,30,20.1677966101695,13.3,77.7,54.6986440677966,32.2,35.25,16,19,3.5,73.75,40,23.320593220339,12,77.7,44.2401694915254,14.8,89.25,70,63.5,72.25,295,17.07,46,5.52,18.5,0,"no","HOFI visits nearby nest 11 times; all birds alarm calling outside for several minutes due to suspected predator though predator sighting never confirmed"
"39","2850-57863","2850-57714",151,"grizz","grizz 151",2021-06-22,"ZML","person",3,5,"early",4.34,"6:06","7:06",3613.603,17,9,8,13,5,8,33,19,14,3455.565,2581.56,874.005,2920.772,2288.588,632.184,2,2,2,3,12.3,12.2,28.3,62,0,0,"clear",13.8,13,12.3,66.4,63.75,61.7,11.75,4.75,6.75,0.75,24,33.2,22.5051779935275,12.6,66.2,43.9766990291262,25,22.75,22,18.25,14.25,77.25,36.8,22.2523185483871,12.2,77.4,47.5816532258064,18.1,85.5,62,57.75,42.75,248,2.568,8.2,2.568,8.2,0,"no",""
"40","2850-57863","2850-57714",151,"grizz","grizz 151",2021-06-28,"ZML","person",9,5,"mid",4.88,"6:20","7:20",3605.844,22,11,9,22,11,9,6,6,0,399.999,305.392,80.033,90.685,90.685,0,3,3,1,1,14.7,14,28.2,69.2,0,0,"mostly",15.9,15.4,14.8,70.8,70.25,69.4,12.25,3.75,7.75,0.25,24,36.8,22.6793345008757,12.2,77.4,48.4373029772329,18.1,48,34.25,32,28.5,142.75,36.8,22.2523185483871,12.2,77.4,47.5816532258064,18.1,85.5,62,57.75,42.75,248,13.472,29.5,10.904,21.3,0,"no",""
"41","2850-57863","2850-57714",151,"grizz","grizz 151",2021-07-01,"ZML","person",12,5,"late",5.18,"6:26","7:26",3612.849,42,24,16,37,23,12,6,2,4,472.677,155.057,311.036,0,0,0,3,3,1,1,18.4,13.8,32,73.1,0,0,"mostly",NA,NA,NA,NA,NA,NA,0,0,0,0,0,27.9,19.3776785714286,13.4,70.8,53.1651785714286,31.6,14.75,5.75,7.5,0,28,36.8,22.2523185483871,12.2,77.4,47.5816532258064,18.1,85.5,62,57.75,42.75,248,17.238,47.8,3.766,18.3,1,"yes",""
"42","UNB","UNB",131,"schaaps","schaaps 131",2021-06-23,"APP","camera",3,4,"early",0.72,"5:59","6:59",3592.895,18,9,9,14,7,7,18,16,2,3558.663,2865.132,693.531,2840.532,2433.104,407.428,3,2,3,2,16.8,10.5,36.7,42.4,3,5,"mostly",19.2,18.225,17,40.4,37.775,36.1,7.5,2.25,3.25,11,24,36.4,21.9233009708738,10.4,81.1,45.9404530744337,18,27.75,17.25,14.75,17.5,77.25,40.6,21.3553767993226,10.4,84.3,52.3228619813717,12,128.25,57.75,58,51.25,295.25,4.085,9.5,4.085,9.5,0,"no","Sexing not reliable. Use total visitation rate. "
"43","UNB","UNB",131,"schaaps","schaaps 131",2021-07-02,"SAM","camera",12,4,"late",0.71,"6:15","7:15",3602.706,25,11,6,24,10,6,2,2,0,132.384,87.091,18.775,0,0,0,2,2,1,1,13.9,13.3,31.5,83.5,0,0," mostly",17.1,15.575,14.1,83.2,80.7,76.7,12.25,5.5,3.5,2.75,24,31.5,20.6537084398977,11.6,84.3,57.3662404092072,27,43.5,21,21.5,11.75,97.75,40.6,21.3553767993226,10.4,84.3,52.3228619813717,12,128.25,57.75,58,51.25,295.25,21.3475,52.625,6.35,22,0,"no","Sexing not reliable. Use total visitation rate. "
"44","2850-57611","2850-57606",71,"schaaps","schaaps 71",2021-06-23,"APP","person",3,4,"early",4.22,"5:57","6:57",3604.924,16,9,6,6,3,3,16,15,1,3232.823,2794.447,239.713,2453.169,2288.478,0,2,1,2,1,18.3,13,37.2,36.8,3,5,"mostly",18.6,18.35,18.2,36.9,35.075,33.2,7.25,0.5,4,12.25,24,37.1,23.8203883495146,13,66.6,38.0919093851133,20.5,20,18.25,16.5,22.5,77.25,37.1,23.4917089678511,13,80.1,42.7516920473773,14.9,84,71.5,60.75,79.25,295.5,3.61,8.75,3.61,8.75,0,"no",""
"45","2850-57611","2850-57606",71,"schaaps","schaaps 71",2021-06-28,"APP","camera",8,4,"mid",0.97,"6:16","7:16",3694.594,5,3,2,4,2,2,7,6,1,2737.982,2436.113,301.869,2117.455,2117.455,0,1,1,3,3,14.8,14.7,31.9,61,0,0,"mostly",18.1,16.225,14.8,68.3,64.3,61,11.25,3.5,6.5,2.75,24,36.9,23.779375,14.7,76.5,42.0191666666667,14.9,37.25,26.75,21.75,34.25,120,37.1,23.4917089678511,13,80.1,42.7516920473773,14.9,84,71.5,60.75,79.25,295.5,14.135,28.75,10.525,20,0,"no",""
"46","2850-57611","2850-57606",71,"schaaps","schaaps 71",2021-07-02,"SAM","camera",12,4,"late",0.81,"6:22","7:22",3622.797,20,7,13,18,7,11,2,1,1,447.648,366.785,80.863,0,0,0,2,2,1,1,15.2,15.1,32.1,70.7,0,0,"mostly",19.3,16.975,15.4,80.1,75.475,70.9,2,15,1.75,5.25,24,35.6,22.8819338422392,14.2,80.1,47.3101781170483,29.5,26.75,26.5,22.5,22.5,98.25,37.1,23.4917089678511,13,80.1,42.7516920473773,14.9,84,71.5,60.75,79.25,295.5,19.605,53.75,5.47,25,0,"no",""
"47","2850-57561","2850-57563",74,"schaaps","schaaps 74",2021-06-23,"APP","person",3,4,"early",1.98,"5:57","6:57",3614.905,24,10,14,17,7,10,17,16,1,3292.633,2386.682,905.951,2143.523,1793.967,349.556,3,3,2,1,19,14,30.3,37.8,3,5,"mostly",19.4,19.075,18.6,37.3,35.1,32.5,7.75,1,6.5,8.75,24,30.3,22.1022727272727,14,63.8,42.55,25.3,19.75,26.25,22.25,8.75,77,32.2,21.5893310753599,14,71.6,48.2028789161727,17.9,86.75,105.75,76.25,26.5,295.25,3.24,9,3.24,9,0,"no","not possible to score away from nest modifiers"
"48","2850-57561","2850-57563",74,"schaaps","schaaps 74",2021-06-28,"APP","camera",8,3,"mid",1.02,"6:16","7:16",3610.392,7,4,2,4,1,3,21,18,3,3550.261,2496.904,421.308,1993.383,1842.634,150.749,1,1,3,3,15.2,15,23.8,61.8,0,0,"mostly",16.8,16.2,15.5,65,64.125,62.4,11.75,10.25,2,0,24,32.2,21.8871101871102,15,69.7,47.3172557172557,17.9,38.25,40.5,23.75,17.75,120.25,32.2,21.5893310753599,14,71.6,48.2028789161727,17.9,86.75,105.75,76.25,26.5,295.25,14.8233333333333,30.3333333333333,11.5833333333333,21.3333333333333,2,"yes",""
"49","2850-57561","2850-57563",74,"schaaps","schaaps 74",2021-07-02,"APP","camera",12,3,"late",1.04,"6:15","7:15",3600.534,24,15,8,21,13,8,9,9,0,836.73,778.071,58.659,492.859,492.859,0,2,2,2,3,15.5,15.5,26.1,70.2,0,0,"mostly",17.1,16.25,15.6,71.6,70.95,70.6,2.25,15.75,6,0,24,26.1,20.8209183673469,14.9,71.6,53.7311224489796,37,28.75,39,30.25,0,98,32.2,21.5893310753599,14,71.6,48.2028789161727,17.9,86.75,105.75,76.25,26.5,295.25,19.6133333333333,54.5,4.79,24.1666666666667,6,"yes",""
"50","2850-57718","2850-57560",54,"grizz","grizz 54",2021-06-24,"MJA","person",3,4,"early",5.81,"6:00","7:00",3627.008,21,12,9,36,25,11,14,14,0,NA,NA,NA,NA,NA,NA,3,3,NA,NA,22.1,16.1,36.6,44.7,0,0,"mostly ",21,20.85,20.7,46.9,46.125,44.8,6.5,2,4.75,10.75,24,36.6,23.6288524590164,12.6,66.5,40.9524590163934,17.1,24.75,12,18.25,21.25,76.25,36.6,22.4678813559322,12.6,77,49.5389830508475,17.1,97.5,71.25,70.25,56,295,3.3,6.25,3.3,6.25,0,"no",""
"51","2850-57718","2850-57560",54,"grizz","grizz 54",2021-06-29,"APP","camera",8,4,"mid",0.97,"6:00","7:00",3597.639,8,0,0,6,0,0,1,0,0,2340.843,0,0,2191.092,0,0,1,1,2,3,17.2,14,26.8,65.7,0,0,"partly",14.8,14.55,14.2,63.1,62.625,62.3,9.5,8,6.5,0,24,33.7,21.5247916666667,14.5,76.2,51.80875,25.9,43.25,35,30.75,11,120,36.6,22.4678813559322,12.6,77,49.5389830508475,17.1,97.5,71.25,70.25,56,295,13.61,29.375,10.31,23.125,0,"no","Very dark footage. Only use total visitation rate. "
"52","2850-57718","2850-57560",54,"grizz","grizz 54",2021-07-03,"MJA","person",12,4,"late",6.4,"5:57","6:57",3614.126,28,22,6,29,21,8,2,1,1,NA,NA,NA,NA,NA,NA,3,3,NA,NA,16.2,14.4,30.9,64,2,5,"clear",19.1,17.6,16.3,66.4,65.175,64.1,7.5,3.5,5.5,7.5,24,31.2,22.7174683544304,14.1,77,53.4108860759494,32.6,29.5,24.25,21.25,23.75,98.75,36.6,22.4678813559322,12.6,77,49.5389830508475,17.1,97.5,71.25,70.25,56,295,18.25,56.5,4.64,27.125,0,"no",""
"53","2850-57402","2850-57858",86,"grizz","grizz 86",2021-06-24,"SAM","person",3,3,"early",3.99,"6:00","7:00",3601.263,15,8,7,11,6,5,11,10,1,3548.112,2139.583,1408.529,3101.609,1881.445,1220.164,1,2,3,3,21.2,16.1,36.5,44.7,0,0,"mostly",21.1,20.96,20.8,48.3,46.22,44.8,6.5,2,4.75,10.75,24,36.3,26.8875,16.1,54.8,32.9721590909091,16.4,6.5,6,10.75,20.75,44,36.3,22.9447519083969,14,78.7,49.4416984732824,16.4,80.25,61.25,63.75,56.75,262,3.13,7.5,3.13,7.5,0,"no",""
"54","2850-57402","2850-57858",86,"grizz","grizz 86",2021-06-29,"APP","person",8,3,"mid",6.32,"5:55","6:55",3601.854,9,5,3,4,1,3,14,13,1,3232.468,2576.918,655.55,2502.486,1975.321,527.165,1,1,3,3,14.1,14.1,26.6,62.3,0,0,"partly",14.5,14.275,14,63.9,63.325,62.9,9.5,6.75,7.75,0,24,33.3,21.6041928721174,14.4,77,52.0333333333333,25.2,43.75,31.5,32.5,11.5,119.25,36.3,22.9447519083969,14,78.7,49.4416984732824,16.4,80.25,61.25,63.75,56.75,262,13.4033333333333,27.6666666666667,10.2733333333333,20.1666666666667,0,"no",""
"55","2850-57402","2850-57858",86,"grizz","grizz 86",2021-07-03,"ZML","person",12,3,"late",5.79,"6:16","7:16",3603.603,23,17,5,14,12,2,4,2,2,801.302,640.154,157.407,69.521,69.521,0,2,1,2,2,16.6,14.3,31.7,65,0,0,"clear",20.2,18.65,17.2,67.9,67.1,66.5,7.75,3.5,5.25,7.5,24,31.9,22.806835443038,14,78.7,53.6503797468354,31.6,30,23.75,20.5,24.5,98.75,36.3,22.9447519083969,14,78.7,49.4416984732824,16.4,80.25,61.25,63.75,56.75,262,19.4266666666667,50.5,6.02333333333333,22.8333333333333,0,"no",""
"56","2811-38779","2850-57712",161,"grizz","grizz 161",2021-06-26,"ZML","person",3,4,"early",7.11,"6:13","7:13",3047.751,15,7,8,11,3,8,13,12,1,2713.434,2022.86,690.574,2404.706,1830.816,573.89,1,2,1,1,15.2,14.7,29.7,72.7,0,0,"mostly",18.6,16.625,15.3,77,75.25,73,8.25,9.25,4,2.5,24,36.9,24.5805054151625,14.7,84.6,42.5971119133574,16,13.5,19,14.75,22,69.25,36.9,22.8793554006969,13.5,84.6,50.2935540069686,16,88.5,67.25,65.5,65.75,287,3.54,8.375,3.54,8.375,0,"no",""
"57","2811-38779","2850-57712",161,"grizz","grizz 161",2021-07-05,"SAM","person",12,4,"late",4.83,"5:45","6:45",3602.825,16,3,13,5,2,3,4,3,1,1583.963,1351.379,232.584,0,0,0,1,1,3,1,15.9,15.8,33.5,65.1,0,0,"clear",18.6,16.74,15.7,67.9,66.76,65.5,4.25,6.25,6.75,6.75,24,34,23.2969230769231,14,78.3,54.4784615384615,32.6,29.5,20.75,20,27.25,97.5,36.9,22.8793554006969,13.5,84.6,50.2935540069686,16,88.5,67.25,65.5,65.75,287,19.2925,50.125,5.7625,20.625,0,"no","obs on tupperware nest"
"58","2850-57526","2640-97543",123,"grizz","grizz 123",2021-06-26,"SAM","person",3,4,"early",5.49,"6:13","7:13",3600.694,15,9,6,9,3,6,9,7,2,3208.309,2387.61,820.699,2652.236,2138.108,514.128,2,1,1,2,15.4,15.1,30.2,72,0,0,"mostly",17.9,16.425,15.4,76.9,74.775,72.3,8.5,8.75,5,1.75,24,36.2,24.3108695652174,15.1,72.3,43.1025362318841,16.9,13.5,18.75,17.5,19.25,69,36.2,22.7466898954704,13.6,76.9,50.9145470383275,16.9,89.5,69.75,66.5,61.25,287,4.115,9.75,4.115,9.75,0,"no",""
"59","2850-57526","2640-97543",123,"grizz","grizz 123",2021-07-01,"MJA","person",8,4,"mid",5.18,"6:26","7:26",3681.167,28,13,15,29,14,15,0,0,0,NA,NA,NA,NA,NA,NA,3,3,NA,NA,18.7,14,31.2,72,0,0,"mostly",18.7,18.6,18.5,72.6,72.25,71.8,7.75,3.5,5.25,7.5,24,31.4,21.3338842975207,13.6,76.9,52.6696280991736,31.7,47,28.25,31.25,14.5,121,36.2,22.7466898954704,13.6,76.9,50.9145470383275,16.9,89.5,69.75,66.5,61.25,287,14.78,34.125,10.665,24.375,0,"no",""
"60","2850-57526","2640-97543",123,"grizz","grizz 123",2021-07-05,"MJA","person",12,4,"late",4.47,"5:45","6:45",3615.008,22,16,6,22,16,6,1,1,0,NA,NA,NA,NA,NA,NA,2,2,NA,NA,16,16,31.6,64.3,0,0,"clear",17.5,16.46,15.9,66.9,65.46,64.5,4.25,6.5,5.75,7.5,24,34.9,23.3963917525773,14,76.6,54.2822164948454,32.4,29,22.75,17.75,27.5,97,36.2,22.7466898954704,13.6,76.9,50.9145470383275,16.9,89.5,69.75,66.5,61.25,287,18.7275,57.5,3.9475,23.375,0,"no",""
"61","2850-57864","2850-57865",7,"hayes","hayes 7",2021-06-29,"ZML","person",4,6,"early",4,"7:17","8:33",3663.868,22,12,10,16,5,11,18,15,3,3746.832,2853.138,893.694,3171.41,2629.958,541.452,3,3,3,3,15.4,14.5,21.7,64.8,0,0,"partly",15.8,15.74,15.7,67.9,66.92,66.2,14.25,9.75,0,0,24,24.8,18.3046454767726,14.5,72.4,62.9227383863081,49.5,64.5,35.75,2,0,102.25,24.8,18.2377088305489,14.5,72.4,62.9852028639618,49.5,64.5,35.75,2,0,102.25,3.78166666666667,9.33333333333333,3.78166666666667,9.33333333333333,0,"no","distance is approximately 4m; score obs starting at 7:33 due to disturbance"
"62","2850-57618","UNB",17,"bluecloud","bluecloud 17",2021-06-29,"SAM","person",4,3,"early",5.18,"6:10","7:10",3601.905,13,7,6,3,2,1,1,1,0,3146.28,2723.471,422.809,2998.11,2695.525,302.585,1,1,1,3,14.3,14.3,22.7,63,5,8,"partly",14.9,14.35,14,64.5,64.25,64.1,12.5,11.5,0,0,24,25.3,18.5509803921569,14.4,72.4,58.9350490196078,43.1,61.5,36.25,4.25,0,102,29.1,21.1517796610169,14,74.2,56.0055084745763,39.4,92.25,108.75,89.5,4.5,295,6.63,12.5,6.63,12.5,0,"no",""
"63","2850-57618","UNB",17,"bluecloud","bluecloud 17",2021-07-03,"SAM","person",8,3,"mid",4.93,"6:16","7:16",3600.156,9,4,5,3,1,2,0,0,0,63.767,33.219,30.548,0,0,0,1,1,1,1,17.5,15.9,25.6,64.8,0,0,"clear",20.4,19.325,18.2,64.2,62.775,60.7,7.75,6.75,9.5,0,24,26.2,21.176501305483,14,74.2,57.5945169712794,39.8,25.25,38,32.5,0,95.75,29.1,21.1517796610169,14,74.2,56.0055084745763,39.4,92.25,108.75,89.5,4.5,295,15.9266666666667,31.1666666666667,9.29666666666667,18.6666666666667,0,"no",""
"64","2850-57618","UNB",17,"bluecloud","bluecloud 17",2021-07-07,"SAM","person",12,2,"late",5.54,"5:45","6:45",3603.505,9,1,8,8,1,7,1,0,1,40.943,2.143,38.8,0,0,0,1,1,1,2,19.3,19.3,27.8,62.3,9,12,"clear",19.8,19.36,19.2,64.4,63.28,62.4,0,9,15,0,24,29.1,23.8552699228792,17.2,64.9,51.3683804627249,39.4,5.5,34.5,52.75,4.5,97.25,29.1,21.1517796610169,14,74.2,56.0055084745763,39.4,92.25,108.75,89.5,4.5,295,20.47,58.75,4.54333333333333,27.5833333333333,3,"yes",""
"65","2850-57905","2850-57554",24,"schaaps","schaaps 24",2021-07-01,"APP","camera",4,3,"early",0.89,"6:49","7:49",3633.692,17,9,8,15,7,8,27,23,4,2909.248,2288.451,620.797,1635.269,1426.739,208.53,2,3,1,1,19.3,15.8,26.4,60,0,0,"mostly",19.7,19.45,19.3,64.6,62.125,60.3,7.25,3.75,13,0,24,26.4,21.4422222222222,14.7,62.3,48.2455555555556,35.8,17.5,23.25,26.75,0,67.5,34.3,23.901393728223,14.7,71.9,47.0952961672474,21,40.25,85,108.5,53.25,287,5.16333333333333,11.5,5.16333333333333,11.5,0,"no","camera start 4:08"
"66","2850-57905","2850-57554",24,"schaaps","schaaps 24",2021-07-06,"APP","camera",9,3,"mid",NA,"6:41","7:41",3518.407,19,10,8,12,5,7,11,10,1,2068.231,1816.512,251.719,332.075,332.075,0,2,2,2,1,19.9,17.9,30.4,54,0,0,"",20.5,20.125,19.9,59.2,56.975,54.3,3.75,4.25,9.5,6.5,24,31.2,23.2307851239669,15.5,71.9,52.2066115702479,37.1,19.75,37.75,47.75,15.75,121,34.3,23.901393728223,14.7,71.9,47.0952961672474,21,40.25,85,108.5,53.25,287,15.8333333333333,38.3333333333333,10.67,26.8333333333333,1,"yes","camera start 5:20"
"67","2850-57905","2850-57554",24,"schaaps","schaaps 24",2021-07-10,"SAM","camera",13,3,"late",1.22,"6:19","7:19",3604.676,21,9,12,17,5,12,7,6,1,628.807,575.619,53.188,0,0,0,2,1,2,2,20.5,20.5,34.3,49.4,0,0,"mostly",21.8,21.025,20.5,52.9,51.475,50,0,0,11.5,12.5,24,34.3,26.4104060913706,18.5,64.4,40.0281725888325,21,3,24,34,37.5,98.5,34.3,23.901393728223,14.7,71.9,47.0952961672474,21,40.25,85,108.5,53.25,287,19.01,62.5,3.17666666666667,24.1666666666667,1,"yes","camera start 5:29. Mounts not set up in advance but camera placed in between roof rafters away from nest where wall joins roof"
"68","2850-57617","2850-57624",4,"urbanfarm","urbanfarm 4",2021-07-01,"SAM","camera",3,3,"early",0.89,"6:54","7:54",3601.93,9,4,5,4,2,2,16,16,0,3264.661,2016.292,1248.369,2878.608,1750.915,1127.693,1,1,2,3,18.2,14.2,30.8,67,0,0,"mostly",18.7,18.4,18.2,71.9,69.7,68,8.75,3.5,5,6.75,24,30.8,21.090522875817,12.9,69,51.1274509803922,30.2,29.75,19.5,15.25,12,76.5,38.8,23.987763055339,12.9,81.2,48.4929851909587,18.5,82.25,75.75,65.75,97,320.75,4.33,9.5,4.33,9.5,0,"no",""
"69","2850-57617","2850-57624",4,"urbanfarm","urbanfarm 4",2021-07-06,"APP","camera",8,3,"mid",0.89,"6:27","7:27",3600.269,17,11,6,16,10,6,10,8,2,2033.06,1353.66,679.4,784.221,681.891,102.33,2,3,1,1,18.7,15.7,33.3,59.5,0,0,"",19.3,18.95,18.7,64.9,62.25,60.4,7,2,7.5,7.5,24,34.5,23.4165271966527,13.9,81.2,54.0265690376569,30.8,34.5,26.25,27.25,31.5,119.5,38.8,23.987763055339,12.9,81.2,48.4929851909587,18.5,82.25,75.75,65.75,97,320.75,12.82,30.5,8.49,21,0,"no",""
"70","2850-57617","2850-57624",4,"urbanfarm","urbanfarm 4",2021-07-11,"SAM","camera",13,3,"late",0.89,"7:44","8:44",3603.021,26,20,6,25,19,6,3,3,0,116.478,104.897,11.581,0,0,0,3,3,1,2,16.5,15.1,34.8,56.3,0,0,"clear",18.9,17.925,17,56,55.4,54.9,0.25,8.5,4.75,10.5,24,38.8,26.311623246493,15.1,70.4,41.576753507014,18.5,18,30,23.25,53.5,124.75,38.8,23.987763055339,12.9,81.2,48.4929851909587,18.5,82.25,75.75,65.75,97,320.75,17.4066666666667,60,4.58666666666667,29.5,9,"yes",""
"71","2850-57854","2850-57602",18,"cooks","cooks 18",2021-07-02,"ZML","person",4,4,"early",6.71,"6:30","7:30",3602.291,17,10,7,9,3,6,18,16,2,3420.912,2512.504,908.408,3004.526,2303.943,700.583,2,2,2,3,17.4,16.7,26.9,75.1,0,0,"mostly",17.7,17.36,17.2,78,76.1,74.7,0,18.75,5.25,0,24,27.6,22.1447653429603,16.8,75.8,56.3332129963899,39.1,12,32.25,25,0,69.25,36.4,24.1018078020932,16.8,78,52.2799238820171,22.7,20,93.5,112.5,36.75,262.75,5.625,11.75,5.625,11.75,0,"no",""
"72","2850-57854","2850-57602",18,"cooks","cooks 18",2021-07-06,"ZML","person",8,4,"mid",6.1,"6:15","7:15",3618.453,35,24,10,18,14,4,22,22,0,2517.762,2024.113,438.961,1109.319,1054.631,0,3,3,2,2,20.8,18.5,28.6,61.4,0,0,"",21.2,20.88,20.7,66.1,64.16,61.8,2.5,7.25,13,1.25,24,28.5,23.4510471204188,17.2,78,56.429057591623,40.9,8,34.75,50.25,2.5,95.5,36.4,24.1018078020932,16.8,78,52.2799238820171,22.7,20,93.5,112.5,36.75,262.75,14.8925,32.125,9.2675,20.375,1,"yes",""
"73","2850-57854","2850-57602",18,"cooks","cooks 18",2021-07-10,"MJA","person",13,4,"late",6.86,"6:35","7:35",3601.666,26,9,16,26,10,15,1,0,1,NA,NA,NA,NA,NA,NA,3,3,NA,NA,21.8,21.7,36.7,52.9,0,0,"mostly",22.2,21.975,21.8,57.1,55.55,53.7,0,0,13.25,10.75,24,36.4,26.1188775510204,19.2,69.6,45.3724489795918,22.7,0,26.5,37.25,34.25,98,36.4,24.1018078020932,16.8,78,52.2799238820171,22.7,20,93.5,112.5,36.75,262.75,19.3925,57.25,4.5,25.125,0,"no",""
