"","ymd_hms","temp_c","humid_perc","site","nest","Timestamp.for.sample.frequency.every.1.min.min","time","date","obs_date","obs_start_time","obs_end_time","HD","filter_last_day"
"36",2021-06-25 08:45:00,20.3,54.5,"bluecloud","17",NA,8H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"37",2021-06-25 09:00:00,20.6,55.4,"bluecloud","17",NA,9H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"38",2021-06-25 09:15:00,21.2,54.5,"bluecloud","17",NA,9H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"39",2021-06-25 09:30:00,22.2,53.1,"bluecloud","17",NA,9H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"40",2021-06-25 09:45:00,22.7,51.2,"bluecloud","17",NA,9H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"41",2021-06-25 10:00:00,23.2,50.3,"bluecloud","17",NA,10H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"42",2021-06-25 10:15:00,23.7,49.7,"bluecloud","17",NA,10H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"43",2021-06-25 10:30:00,24.3,48.8,"bluecloud","17",NA,10H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"44",2021-06-25 10:45:00,24.7,48.4,"bluecloud","17",NA,10H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"45",2021-06-25 11:00:00,24.9,49.1,"bluecloud","17",NA,11H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"46",2021-06-25 11:15:00,25.1,47.7,"bluecloud","17",NA,11H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"47",2021-06-25 11:30:00,25,46.4,"bluecloud","17",NA,11H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"48",2021-06-25 11:45:00,25,45.3,"bluecloud","17",NA,11H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"49",2021-06-25 12:00:00,25.2,45,"bluecloud","17",NA,12H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"50",2021-06-25 12:15:00,25.2,43.8,"bluecloud","17",NA,12H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"51",2021-06-25 12:30:00,25.2,43.1,"bluecloud","17",NA,12H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"52",2021-06-25 12:45:00,25.3,43.7,"bluecloud","17",NA,12H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"53",2021-06-25 13:00:00,24.8,44.5,"bluecloud","17",NA,13H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"54",2021-06-25 13:15:00,24.6,43.9,"bluecloud","17",NA,13H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"55",2021-06-25 13:30:00,24.2,43.7,"bluecloud","17",NA,13H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"56",2021-06-25 13:45:00,24,45.6,"bluecloud","17",NA,13H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"57",2021-06-25 14:00:00,23.4,48.6,"bluecloud","17",NA,14H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"58",2021-06-25 14:15:00,22.9,51,"bluecloud","17",NA,14H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"59",2021-06-25 14:30:00,22.6,52,"bluecloud","17",NA,14H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"60",2021-06-25 14:45:00,22.1,53.3,"bluecloud","17",NA,14H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"61",2021-06-25 15:00:00,21.4,53.7,"bluecloud","17",NA,15H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"62",2021-06-25 15:15:00,21.2,54.9,"bluecloud","17",NA,15H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"63",2021-06-25 15:30:00,20.2,57.2,"bluecloud","17",NA,15H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"64",2021-06-25 15:45:00,20,58.5,"bluecloud","17",NA,15H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"65",2021-06-25 16:00:00,19.8,58.6,"bluecloud","17",NA,16H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"66",2021-06-25 16:15:00,19.7,59.3,"bluecloud","17",NA,16H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"67",2021-06-25 16:30:00,19.4,60,"bluecloud","17",NA,16H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"68",2021-06-25 16:45:00,19.3,62,"bluecloud","17",NA,16H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"69",2021-06-25 17:00:00,19.2,62.7,"bluecloud","17",NA,17H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"70",2021-06-25 17:15:00,19.2,62.4,"bluecloud","17",NA,17H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"71",2021-06-25 17:30:00,19.2,63.2,"bluecloud","17",NA,17H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"72",2021-06-25 17:45:00,19.2,63.3,"bluecloud","17",NA,17H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"73",2021-06-25 18:00:00,19.2,62.2,"bluecloud","17",NA,18H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"74",2021-06-25 18:15:00,19,62.3,"bluecloud","17",NA,18H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"75",2021-06-25 18:30:00,18.9,63.4,"bluecloud","17",NA,18H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"76",2021-06-25 18:45:00,19.1,65.4,"bluecloud","17",NA,18H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"77",2021-06-25 19:00:00,19.2,66.5,"bluecloud","17",NA,19H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"78",2021-06-25 19:15:00,19.1,67.1,"bluecloud","17",NA,19H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"79",2021-06-25 19:30:00,19,67.5,"bluecloud","17",NA,19H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"80",2021-06-25 19:45:00,18.8,67.9,"bluecloud","17",NA,19H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"81",2021-06-25 20:00:00,19,66.9,"bluecloud","17",NA,20H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"82",2021-06-25 20:15:00,18.9,67.9,"bluecloud","17",NA,20H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"83",2021-06-25 20:30:00,18.9,67.4,"bluecloud","17",NA,20H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"84",2021-06-25 20:45:00,18.9,67.5,"bluecloud","17",NA,20H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
