,female_band,male_band,nest,site,obs_date,observer,obs_method,nestling_number,nestling_age,blind_camera_distance,obs_start_time,obs_end_time,trial_temp,min_temp,max_temp,trial_humidity,wind_speed,wind_gust,cloud_cover,notes,total_visits,female_visits,male_visits,total_feeding_visits,female_feeding_visits,male_feeding_visits,total_an_duration,female_an_duration,male_an_duration,total_brooding_duration,female_brooding_duration,male_brooding_duration
21,2850-57482,2850-57716,46,grizz,6/23/2021,ZML,person,1,12,5.18,6:08,7:08,16.1,12.6,35.3,45.5,0,0,partly,"start habituation at 5:46; while tried to start obs at 6:00, could not differentiate parent IDs before 6:08...official start time should be 6:08; HOSP enters barn 2x",16.00651821,8.003259105,7.002851717,11.00448127,5.002036941,6.002444329,2303.551057,997.5552267,694.3897709,303.3775421,151.8568395,151.5207026
22,2850-57519,2850-57862,114,grizz,6/15/2021,ZML,person,3,3,4.27,6:05,7:05,15.9,15.9,36.9,48.7,1,3,clear,start habituation 5:50; 2 HOSP ~3m from nest at start of trial; ,25.01174857,12.00563932,13.00610926,14.0065792,5.002349715,9.004229487,3502.062997,2386.425957,1115.63704,2958.357606,2143.62791,814.7296966
23,2850-57519,2850-57862,114,grizz,6/21/2021,HS4,camera,3,9,0.96,6:15,7:15,14.7,14.6,32.5,66.1,0,0,mostly,start habituation 6:03,8.963131652,2.987710551,5.975421101,8.963131652,2.987710551,5.975421101,1228.934981,974.318304,254.6166767,923.6467331,923.6467331,0
24,2850-57519,2850-57862,114,grizz,6/24/2021,ZML,person,3,12,4.52,6:00,7:00,20.3,15.5,37,46.2,0,0,mostly,start habituation 5:48; HOSP enters barn 3x,23.85527798,9.939699158,13.91557882,21.86733815,9.939699158,11.92763899,NA,104.4195216,NA,0,0,0
25,2510-63484,2850-57710,11,vanloon,6/17/2021,APP,camera,5,3,0.927,6:00,7:00,21.2,17.9,34.4,39.5,0,0,partly,,19.93234629,10.96279046,8.969555833,19.93234629,9.966173147,9.966173147,3497.299582,2522.188273,975.1113097,2768.653728,2109.346526,659.3072015
26,2510-63484,2850-57710,11,vanloon,6/22/2021,APP,camera,5,8,0.965,6:00,7:00,16.4,14.5,22.6,55.1,0,0,clear,,9.011747815,6.007831876,3.003915938,6.007831876,2.002610625,4.005221251,3227.712682,2930.901756,296.810926,2640.077635,2603.941527,36.13610743
27,2510-63484,2850-57710,11,vanloon,6/26/2021,APP,camera,5,12,0.94,6:00,7:00,19.8,16.3,23.7,64.3,0,0,mostly,,33.0002475,17.0001275,16.00012,33.0002475,17.0001275,16.00012,133.2269992,46.06234547,87.16465373,0,0,0
28,2350-21096,2850-57717,61,grizz,6/17/2021,MJA,person,4,3,4.953,6:06,7:06,17.8,17.8,39.5,37,0,0,partly,,21.6001512,9.6000672,12.000084,24.000168,8.4000588,15.6001092,4360.513724,2690.282032,1670.231692,3632.549028,2472.704909,1159.844119
29,2350-21096,2850-57717,61,grizz,6/22/2021,SAM,person,4,8,4.09,6:06,7:06,12.1,12,28.9,60.1,0,0,clear,habituation start at 5:51,10.9927692,5.996055928,4.996713273,2.998027964,0.999342655,1.998685309,2772.69918,2098.533631,674.1655489,2218.076998,1867.353696,350.723302
30,2350-21096,2850-57717,61,grizz,6/26/2021,APP,person,4,12,4.36,6:13,7:13,15.2,14.8,31.7,72.1,0,0,mostly,habituation start at 5:58,16.98644387,13.98883613,2.997607742,14.98803871,11.99043097,2.997607742,771.3504195,693.0429133,78.30750626,274.284106,274.284106,0
31,2850-57861,2850-57713,6,grizz,6/19/2021,HS4,camera,2,4,0.965,6:00,7:00,16.7,16.6,37.5,53.4,0,0,partly,,11.99307733,4.997115554,6.995961775,5.996538665,1.998846222,3.997692443,3215.241091,2457.093711,758.1473805,2777.262902,2183.084875,594.1780272
32,2850-57861,2850-57713,6,grizz,6/24/2021,HS4,camera,2,9,0.762,6:00,7:00,20.7,15.9,37.4,44.2,0,0,mostly,,19.9233339,7.969333562,11.95400034,14.94250043,3.984666781,10.95783365,2182.084219,1556.984637,625.0995821,930.5083522,874.3803359,56.12801628
33,2850-57861,2850-57713,6,grizz,6/28/2021,MJA,person,2,13,5.49,6:28,7:28,15.2,14.2,29.7,67.8,0,0,mostly,chillier than normal temps in barn; pair skittish or ZML completing obervation nearby; not very much visitation,23.00997738,9.003904193,14.00607319,25.01084498,8.003470394,17.00737459,737.7008753,121.7207795,615.9800958,19.75656667,19.75656667,0
34,2850-57604,2850-57701,110,schaaps,6/19/2021,MJA,person,3,4,2.74,6:22,7:22,16.6,16.6,37.5,53.3,0,0,fully,possibly 3 adults at this nest (parents and a random UNB female or juvenile male?); no day 8 obs,15.96241738,7.981208688,6.983557602,21.94832389,9.976510859,11.97181303,NA,1226.475332,NA,NA,1099.015429,NA
35,2850-57604,2850-57701,110,schaaps,6/28/2021,H8,camera,3,13,0.914,6:00,7:00,15.5,15.1,21.9,61.1,0,0,mostly,,9.252465075,5.782790672,3.469674403,10.40902321,6.939348806,3.469674403,594.7218542,573.0965302,21.625324,196.2956728,196.2956728,0
36,2850-57715,2850-57859,140,grizz,6/21/2021,MJA,person,2,4,5.44,6:15,7:15,15,14.9,33.8,63.7,0,0,mostly,3 UNB males perching/singing near nest; HOFI nest nearby and enters barn 6 times,6.959074841,2.982460646,2.982460646,10.93568904,5.964921292,3.976614195,6677.957048,1782.946787,1295.01026,6394.601415,1664.891053,1143.171201
37,2850-57715,2850-57859,140,grizz,6/26/2021,MJA,person,2,9,2.82,6:13,7:13,15,14.7,31.5,73.5,0,0,mostly,HOFI visits nearby nest 3 times; male has growth on its bill; asynchronous hatch...one nestling may be only day 5,13.89207338,5.788363909,8.103709473,21.99578286,11.57672782,10.41905504,2707.280315,1975.641536,731.6387791,1779.227298,1779.227298,0
